STATIONS_ID;MESS_DATUM;QN_592;ATMO_STRAHL;FD_STRAHL;FG_STRAHL;SD_STRAHL;eor
       5906;19791006;    1;     -999;   548.00;   934.00;    5.7;eor
       5906;19791007;    1;     -999;   551.00;   555.00;    0.1;eor
       5906;19791008;    1;     -999;   521.00;  1049.00;    6.3;eor
       5906;19791009;    1;     -999;   344.00;  1135.00;    8.4;eor
       5906;19791010;    1;     -999;   379.00;  1124.00;    8.5;eor
       5906;19791011;    1;     -999;   570.00;   721.00;    2.0;eor
       5906;19791012;    1;     -999;   410.00;  1113.00;    9.0;eor
       5906;19791013;    1;     -999;   452.00;   480.00;    0.6;eor
       5906;19791014;    1;     -999;   343.00;   362.00;    0.3;eor
       5906;19791015;    1;     -999;   498.00;   762.00;    4.2;eor
       5906;19791016;    1;     -999;   519.00;   722.00;    3.9;eor
       5906;19791017;    1;     -999;   180.00;   180.00;    0.0;eor
       5906;19791018;    1;     -999;   267.00;   287.00;    0.7;eor
       5906;19791019;    1;     -999;   302.00;  1006.00;    6.9;eor
       5906;19791020;    1;     -999;   495.00;   742.00;    4.0;eor
       5906;19791021;    1;     -999;   500.00;   524.00;    0.3;eor
       5906;19791022;    1;     -999;   336.00;   880.00;    6.9;eor
       5906;19791023;    1;     -999;   217.00;  1059.00;    8.9;eor
       5906;19791024;    1;     -999;   378.00;   707.00;    4.2;eor
       5906;19791025;    1;     -999;   291.00;   884.00;    8.8;eor
       5906;19791026;    1;     -999;   273.00;   941.00;    7.9;eor
       5906;19791027;    1;     -999;   499.00;   718.00;    2.8;eor
       5906;19791028;    1;     -999;   443.00;   672.00;    4.1;eor
       5906;19791029;    1;     -999;   135.00;   135.00;    0.0;eor
       5906;19791030;    1;     -999;   391.00;   421.00;    0.8;eor
       5906;19791031;    1;     -999;   237.00;   237.00;    0.0;eor
       5906;19791101;    1;     -999;   307.00;   339.00;    0.8;eor
       5906;19791102;    1;     -999;   340.00;   380.00;    1.3;eor
       5906;19791103;    1;     -999;   271.00;   271.00;    0.0;eor
       5906;19791104;    1;     -999;   312.00;   333.00;    0.3;eor
       5906;19791105;    1;     -999;   229.00;   424.00;    3.4;eor
       5906;19791106;    1;     -999;   109.00;   110.00;    0.1;eor
       5906;19791107;    1;     -999;   296.00;   424.00;    2.9;eor
       5906;19791108;    1;     -999;   262.00;   361.00;    2.0;eor
       5906;19791109;    1;     -999;   309.00;   510.00;    3.6;eor
       5906;19791110;    1;     -999;   202.00;   239.00;    1.1;eor
       5906;19791111;    1;     -999;   205.00;   729.00;    7.4;eor
       5906;19791112;    1;     -999;   227.00;   297.00;    1.3;eor
       5906;19791113;    1;     -999;   303.00;   391.00;    2.0;eor
       5906;19791114;    1;     -999;   250.00;   283.00;    1.0;eor
       5906;19791115;    1;     -999;   142.00;   142.00;    0.0;eor
       5906;19791116;    1;     -999;   319.00;   390.00;    1.7;eor
       5906;19791117;    1;     -999;   280.00;   525.00;    5.1;eor
       5906;19791118;    1;     -999;   222.00;   226.00;    0.1;eor
       5906;19791119;    1;     -999;   178.00;   178.00;    0.0;eor
       5906;19791120;    1;     -999;   236.00;   236.00;    0.0;eor
       5906;19791121;    1;     -999;   126.00;   126.00;    0.0;eor
       5906;19791122;    1;     -999;   234.00;   510.00;    6.6;eor
       5906;19791123;    1;     -999;   149.00;   149.00;    0.0;eor
       5906;19791124;    1;     -999;    80.00;    80.00;    0.0;eor
       5906;19791125;    1;     -999;   154.00;   155.00;    0.1;eor
       5906;19791126;    1;     -999;   303.00;   331.00;    0.4;eor
       5906;19791127;    1;     -999;    33.00;    33.00;    0.0;eor
       5906;19791128;    1;     -999;   182.00;   232.00;    1.5;eor
       5906;19791129;    1;     -999;   199.00;   199.00;    0.0;eor
       5906;19791130;    1;     -999;   236.00;   474.00;    6.0;eor
       5906;19791201;    1;     -999;    71.00;    71.00;    0.0;eor
       5906;19791202;    1;     -999;   233.00;   379.00;    3.5;eor
       5906;19791203;    1;     -999;   237.00;   408.00;    4.4;eor
       5906;19791204;    1;     -999;   173.00;   459.00;    6.3;eor
       5906;19791205;    1;     -999;   218.00;   332.00;    2.7;eor
       5906;19791206;    1;     -999;    70.00;    70.00;    0.0;eor
       5906;19791207;    1;     -999;   195.00;   372.00;    5.2;eor
       5906;19791208;    1;     -999;   205.00;   217.00;    0.5;eor
       5906;19791209;    1;     -999;   122.00;   128.00;    0.3;eor
       5906;19791210;    1;     -999;    72.00;    72.00;    0.0;eor
       5906;19791211;    1;     -999;   180.00;   309.00;    3.9;eor
       5906;19791212;    1;     -999;   151.00;   151.00;    0.0;eor
       5906;19791213;    1;     -999;    90.00;    90.00;    0.0;eor
       5906;19791214;    1;     -999;   169.00;   186.00;    0.7;eor
       5906;19791215;    1;     -999;   120.00;   135.00;    0.8;eor
       5906;19791216;    1;     -999;   169.00;   261.00;    3.9;eor
       5906;19791217;    1;     -999;    55.00;    55.00;    0.0;eor
       5906;19791218;    1;     -999;   105.00;   114.00;    0.3;eor
       5906;19791219;    1;     -999;   100.00;   100.00;    0.0;eor
       5906;19791220;    1;     -999;   158.00;   175.00;    0.3;eor
       5906;19791221;    1;     -999;   198.00;   288.00;    2.4;eor
       5906;19791222;    1;     -999;   251.00;   290.00;    0.6;eor
       5906;19791223;    1;     -999;   106.00;   111.00;    0.1;eor
       5906;19791224;    1;     -999;   116.00;   116.00;    0.0;eor
       5906;19791225;    1;     -999;   119.00;   119.00;    0.0;eor
       5906;19791226;    1;     -999;   154.00;   431.00;    6.0;eor
       5906;19791227;    1;     -999;   265.00;   352.00;    2.0;eor
       5906;19791228;    1;     -999;   147.00;   149.00;    0.1;eor
       5906;19791229;    1;     -999;   121.00;   131.00;    0.3;eor
       5906;19791230;    1;     -999;   181.00;   194.00;    0.4;eor
       5906;19791231;    1;     -999;   152.00;   172.00;    0.9;eor
